Part	X(mm)	Y(mm)	rotation (Degrees)
C1	24.10	24.10	90
C2	25.52	24.10	90
C3	9.30	7.00	90
C4	7.50	7.00	90
C5	24.10	12.20	90
C6	30.57	15.00	90
C7	23.00	20.04	270
C8	14.60	21.40	270
C9	38.00	26.50	90
C10	16.20	21.40	270
C11	39.60	25.90	270
IC1	31.00	26.90	90
J1	11.70	51.80	180
R1	8.00	30.00	270
R2	26.40	13.10	0
R3	24.10	17.04	180
R4	24.05	15.22	180
R5	25.50	27.30	270
R6	28.80	15.00	90
R7	25.50	30.40	270
R8	12.50	21.40	90
R9	10.40	21.40	90
R10	36.10	27.10	90
R11	34.80	20.10	270
R12	37.55	21.08	180
R13	42.00	29.80	0
R14	42.00	24.50	0
R15	58.00	33.00	180
R16	58.00	27.00	180
R17	58.00	21.00	180
U1	12.00	27.00	0
U2	13.30	18.30	90
